order_id,customer_id,product_id,quantity,order_date,total_amount
d961a52a-9b4b-40be-9b9d-0cd5775d5027,07de130e-fae0-47d9-9bf7-99af47e4350f,77f6c06d-b2d5-4c6d-8eb1-afee30d696fb,1,2023-10-05,79097.24
7860fe4b-014c-4f6b-b97e-31cf3f436530,5b127d28-3c4a-4c7f-af34-27df0c9bf8da,f325ae0c-42ff-46ab-87b0-83c90b7df707,6,2024-02-04,50208.78
5457db49-20eb-4eeb-ab12-9505697ee220,b74fa009-6270-443d-b8ea-d913ea2055a1,60b68913-d715-4aff-8e66-7bcfe7680bf5,5,2024-03-06,73758.23
83212f82-a640-4075-b6e8-76ae0702ee4d,f0aa7a6e-d8d2-4877-bef8-a8c72f674313,7a60bdcd-5a23-4727-9217-72a2910bd262,10,2024-03-02,59863.75
093f20de-ea87-40e0-80de-4ea886df8b7a,ec3808ba-c658-4a58-a4d9-bad206cbfe7b,42902101-1c87-4c30-82ef-e9622e0cd110,5,2024-04-05,64406.20
db6ed83c-8cc5-44f4-a377-630dc3e79505,94a91cbb-9d0f-4f15-a3be-9c52a67875d8,e10bdf81-8667-4a7f-b2d3-fe5b185c1ee4,10,2023-08-27,58388.47
a22c86ed-ae05-477a-a02c-b0851baade67,96a8e4c8-6072-4f7c-855c-18a053732c37,bac86ca8-6c77-432f-8769-224ed335a286,2,2024-03-16,75330.73
7d89d027-2785-48e8-8b00-78a465c7e368,65454df3-9e06-4a60-8b35-7d0f85eaec2d,4d9a50eb-075a-49b3-91f1-db8b4c28e4d0,9,2023-12-01,81943.14
7cd73a45-d7e9-46c4-a491-ed491f2c61be,52c8143a-6367-450a-b2bc-e36a60e06320,dfaad901-8a2d-429f-aa68-591f1ac329fc,2,2023-10-31,42615.17
1b8a6365-d384-4a86-8228-e7e0a953ae01,ff123aec-59ad-42ae-8f2c-943f6dc1bbf7,590723f5-b845-468b-8dfd-d73fd4df5936,4,2024-01-29,15165.07
26e5b930-ac2c-4827-a1df-b4c63601d90f,433301a7-9dde-4dd6-a5f8-ea13ef20ed37,b988b76a-3f46-4211-9e5f-359dd1cfd955,8,2023-08-30,24779.30
2cb3ea31-149c-448d-a317-514ece4719e2,541f753d-d3ac-4f15-ba47-9434288fe1bf,e9eba5ea-75ff-4ca4-bb3c-39c67198a3bd,2,2023-10-11,97956.51
86e27764-4b1a-4b15-8917-6993308ef10b,95cbd778-c4a7-48ce-a9ae-d4d54bc9d532,3789859a-175d-4be3-b028-fc77c6b92276,9,2023-12-22,19838.19
87e5f5d0-b25e-4835-938c-821d5d8f2615,59beb4d5-ed25-4679-90fa-f445adc5e0cf,a5c3ae0f-aab7-4d12-a2f8-ab80191d9cb0,1,2023-12-23,86425.18
